SaleAmount_2024,SaleDateYr,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade out of 10,Total Enrollment
418406,2011,3,2010.0,1976.0,6.0,24297
218655,1985,3,1984.0,1290.0,5.0,16889
244891,1990,3,1958.0,1806.0,5.0,17662
185305,2015,2,1965.0,909.0,4.5,23883
299714,2009,2,1955.0,837.0,4.0,24355
258126,2020,1,2004.0,624.0,6.5,25642
203884,1991,3,1962.0,1014.0,4.5,17606
389525,2024,1,2006.0,840.0,6.5,26470
225925,1986,3,1979.0,1608.0,4.5,16985
379285,2006,3,1953.0,1344.0,4.5,22371
141750,2001,3,2002.0,1594.0,5.5,21133
392655,2019,1,1950.0,391.0,3.0,25018
122865,1987,3,1980.0,1200.0,3.5,17034
269324,2013,0,2003.0,715.0,6.5,23464
153236,1987,3,1960.0,1118.0,4.5,17034
180447,2013,2,1965.0,970.0,4.5,23464
102112,1988,2,1991.0,960.0,3.0,17168
1030083,2020,5,1950.0,2203.0,8.0,25642
369532,2012,3,2008.0,1960.0,5.5,23907
409853,2002,2,1958.0,1118.0,5.0,21536
1028173,2015,5,1951.0,3454.0,6.5,23883
327555,1988,4,1953.0,1928.0,6.5,17168
438700,1982,3,1952.0,2746.0,8.5,16446
118644,1991,1,1967.0,702.0,5.0,17606
1257220,2006,6,2006.0,4644.0,6.5,22371
420217,2006,2,1951.0,767.0,6.5,22371
115465,1998,3,1952.0,1138.0,6.5,20448
203593,2020,3,1988.0,1280.0,3.0,25642
137029,1983,3,1979.0,1320.0,3.5,16379
393528,2018,3,1959.0,1040.0,5.0,24639
619366,2021,4,2007.0,2392.0,6.0,26026
854519,2018,6,1980.0,2442.0,6.5,24639
139715,1981,3,1981.0,1200.0,3.5,16420
313264,1982,6,1971.0,2176.0,4.5,16446
86851,1993,4,1970.0,792.0,4.0,19711
462175,2002,3,1951.0,1464.0,7.5,21536
27326,2000,5,2000.0,2128.0,5.0,20810
145908,1982,3,1980.0,1200.0,3.5,16446
171789,2002,3,1950.0,1120.0,4.0,21536
506832,2007,3,1960.0,1092.0,4.5,22534
249006,1984,3,1953.0,2039.0,6.5,16531
318534,2017,4,1962.0,1075.0,5.0,24360
209700,2003,3,2000.0,1080.0,4.5,21446
131729,1971,3,1971.0,899.0,3.5,12351
184071,1991,3,1956.0,912.0,5.5,17606
270643,1996,3,1973.0,1326.0,5.5,19789
291817,2006,2,1955.0,1423.0,7.0,22371
425974,1996,3,1981.0,1783.0,6.5,19789
475992,2009,4,2007.0,2122.0,5.5,24355
389726,2001,3,1954.0,1458.0,7.0,21133
633539,1991,3,1998.0,3590.0,7.5,17606
220192,1983,2,1979.0,936.0,4.5,16379
504899,2006,1,2007.0,991.0,8.0,22371
324154,2021,2,2005.0,1479.0,6.0,26026
488141,2011,3,1953.0,2359.0,6.5,24297
94263,2013,4,2017.0,2694.0,6.5,23464
205287,1994,3,1978.0,1260.0,4.5,19724
193886,2012,3,1959.0,793.0,4.5,23907
352811,1983,4,1966.0,3442.0,8.5,16379
288248,1994,3,1994.0,1200.0,4.5,19724
196291,1998,4,1958.0,1196.0,4.5,20448
151214,1994,3,1994.0,1120.0,4.0,19724
212632,1983,3,1965.0,1225.0,4.5,16379
130277,1993,2,1967.0,882.0,5.0,19711
220842,1977,4,1975.0,1440.0,5.0,15903
238439,1988,3,1978.0,1195.0,4.5,17168
87938,1997,3,1970.0,996.0,4.0,20262
127006,1987,3,1977.0,1200.0,4.0,17034
772388,2008,5,1956.0,2625.0,7.0,22813
200046,2001,3,1988.0,1224.0,4.5,21133
556427,2020,4,2019.0,2024.0,7.0,25642
805796,2018,3,1954.0,2862.0,9.0,24639
290000,2024,3,2000.0,1200.0,4.5,26470
377408,2021,3,1962.0,1080.0,5.0,26026
803884,2004,3,1970.0,1088.0,4.5,21691
407000,2024,3,2004.0,1300.0,4.5,26470
193517,1991,2,1986.0,966.0,6.5,17606
447615,2008,3,2008.0,2520.0,5.0,22813
334307,2011,3,2011.0,1394.0,5.0,24297
232943,2005,3,1978.0,928.0,4.5,22071
537502,2017,4,1950.0,1536.0,5.5,24360
32412,1990,3,1991.0,1144.0,4.0,17662
889438,2017,3,1953.0,2321.0,7.0,24360
62101,1977,3,2006.0,1428.0,6.5,15903
517860,1999,3,1950.0,2743.0,7.0,20794
539214,2008,3,1968.0,1820.0,4.5,22813
328463,2009,3,2009.0,1488.0,5.0,24355
385822,2006,2,2006.0,756.0,5.0,22371
264425,2006,2,1966.0,771.0,5.0,22371
307024,2009,1,1966.0,523.0,5.0,24355
240553,1998,5,1956.0,1577.0,5.5,20448
218139,2003,3,2002.0,1440.0,5.0,21446
531103,2017,3,1976.0,1200.0,5.5,24360
469009,2007,6,1969.0,2790.0,5.0,22534
152266,1967,3,1959.0,1282.0,5.5,8597
377111,2000,4,1961.0,1732.0,6.5,20810
156162,2018,3,2022.0,1808.0,6.5,24639
359123,2022,1,2007.0,1034.0,8.0,26149
115179,2017,5,2020.0,2720.0,6.0,24360
539689,2004,4,1973.0,1300.0,4.5,21691
126550,1989,4,1975.0,1728.0,3.0,17444
34867,2011,3,2013.0,1760.0,6.5,24297
412138,2021,4,1987.0,1536.0,5.0,26026
390520,2013,4,1975.0,1920.0,4.0,23464
16065,2005,3,1957.0,1445.0,4.5,22071
377531,2017,4,1961.0,925.0,5.0,24360
156267,1978,3,1978.0,1200.0,3.5,16179
452987,2023,3,1966.0,920.0,4.5,25944
372507,2016,4,2017.0,1855.0,6.5,23898
232281,2012,6,1960.0,2295.0,4.5,23907
447154,2008,3,2008.0,1564.0,5.5,22813
261973,1975,3,1973.0,1672.0,4.5,15179
65138,1993,3,2006.0,1152.0,3.5,19711
129377,1977,3,1963.0,864.0,4.0,15903
216145,2010,2,1988.0,829.0,5.0,24391
215875,2004,2,1950.0,898.0,4.5,21691
236756,2017,2,1953.0,768.0,4.5,24360
709582,1987,6,1975.0,2640.0,4.5,17034
165603,1977,5,1963.0,1008.0,4.0,15903
524707,2019,3,2019.0,2024.0,6.5,25018
320778,2011,1,1966.0,615.0,5.0,24297
445477,2005,3,2005.0,1780.0,6.0,22071
302989,2013,3,1978.0,1147.0,4.5,23464
180185,1983,3,1968.0,1480.0,5.0,16379
583635,2006,6,2004.0,2508.0,4.5,22371
367557,2011,3,1957.0,1870.0,4.5,24297
40073,1974,3,2005.0,1314.0,6.5,14382
445712,2021,3,1957.0,960.0,4.5,26026
435743,2008,3,2007.0,2002.0,4.5,22813
95755,1997,2,1954.0,768.0,4.5,20262
560212,2006,3,2006.0,1906.0,7.0,22371
171654,1978,3,1977.0,1200.0,3.5,16179
357665,1994,3,1951.0,1366.0,7.5,19724
324524,2007,3,1954.0,1002.0,4.5,22534
260550,2020,3,1994.0,1080.0,5.0,25642
321143,1995,3,1954.0,2646.0,6.5,20025
237058,1991,4,1967.0,1056.0,4.5,17606
147551,1980,3,1980.0,1200.0,4.0,16452
750202,2018,4,1962.0,2458.0,6.5,24639
422110,2005,4,1960.0,1032.0,6.0,22071
262784,1996,5,1990.0,1404.0,5.0,19789
123766,1989,3,1979.0,1200.0,3.5,17444
208602,2017,3,1970.0,1123.0,4.5,24360
597119,2023,3,2010.0,1820.0,7.0,25944
918253,2006,4,1952.0,2816.0,7.0,22371
137785,1988,3,1983.0,1536.0,4.5,17168
394507,1998,3,1952.0,2288.0,6.5,20448
264911,2017,3,1953.0,775.0,4.5,24360
179694,1991,4,1967.0,1008.0,4.0,17606
