SaleAmount_2024,Total Enrollment
418406,24297
218655,16889
244891,17662
185305,23883
299714,24355
258126,25642
203884,17606
389525,26470
225925,16985
379285,22371
141750,21133
392655,25018
122865,17034
269324,23464
153236,17034
180447,23464
102112,17168
1030083,25642
369532,23907
409853,21536
1028173,23883
327555,17168
438700,16446
118644,17606
1257220,22371
420217,22371
115465,20448
203593,25642
137029,16379
393528,24639
619366,26026
854519,24639
139715,16420
313264,16446
86851,19711
462175,21536
27326,20810
145908,16446
171789,21536
506832,22534
249006,16531
318534,24360
209700,21446
131729,12351
184071,17606
270643,19789
291817,22371
425974,19789
475992,24355
389726,21133
633539,17606
220192,16379
504899,22371
324154,26026
488141,24297
94263,23464
205287,19724
193886,23907
352811,16379
288248,19724
196291,20448
151214,19724
212632,16379
130277,19711
220842,15903
238439,17168
87938,20262
127006,17034
772388,22813
200046,21133
556427,25642
805796,24639
290000,26470
377408,26026
803884,21691
407000,26470
193517,17606
447615,22813
334307,24297
232943,22071
537502,24360
32412,17662
889438,24360
62101,15903
517860,20794
539214,22813
328463,24355
385822,22371
264425,22371
307024,24355
240553,20448
218139,21446
531103,24360
469009,22534
152266,8597
377111,20810
156162,24639
359123,26149
115179,24360
539689,21691
126550,17444
34867,24297
412138,26026
390520,23464
16065,22071
377531,24360
156267,16179
452987,25944
372507,23898
232281,23907
447154,22813
261973,15179
65138,19711
129377,15903
216145,24391
215875,21691
236756,24360
709582,17034
165603,15903
524707,25018
320778,24297
445477,22071
302989,23464
180185,16379
583635,22371
367557,24297
40073,14382
445712,26026
435743,22813
95755,20262
560212,22371
171654,16179
357665,19724
324524,22534
260550,25642
321143,20025
237058,17606
147551,16452
750202,24639
422110,22071
262784,19789
123766,17444
208602,24360
597119,25944
918253,22371
137785,17168
394507,20448
264911,24360
179694,17606
153657,17662
276619,24391
99022,24297
266857,16179
144408,21133
123659,7873
272367,12907
331335,23898
708131,23883
315210,22371
360330,25944
239389,20262
159469,21133
288368,22071
415145,21691
324257,22813
232622,20025
231087,21536
117390,20448
186460,20810
390070,21691
555692,26026
313108,22071
138701,16985
369740,21536
503841,22071
451430,25018
328422,24639
260550,25642
269471,17168
277783,24355
206401,21133
489776,24355
174361,21691
38909,22371
285123,12907
351935,24360
155636,22371
148287,13732
639324,21691
235166,9735
283509,16379
87952,17444
178069,20025
407892,22071
186510,20025
108504,26026
291467,22813
548869,26149
373631,21691
395448,24360
181618,21133
131306,12907
177400,24639
197461,24355
53996,19789
455604,26149
244421,7873
155636,22371
283358,20262
231011,21446
327923,20810
194545,22371
308904,25642
35437,21133
263596,24297
515173,26026
236820,25018
492196,21691
193873,25018
391431,25642
549426,22071
107243,16985
2250,12907
120730,16531
627610,24297
383566,12351
80974,20794
290792,24297
1125068,23883
67581,19711
100871,20025
161264,17606
622119,24639
105664,20810
282673,22071
461919,26026
431185,22534
157378,17034
244079,20262
249087,21691
264425,22371
87952,17444
179466,17034
770093,26026
228590,12351
198299,16379
264532,16985
196186,16531
438735,24391
246657,16420
72456,7873
279938,22371
127316,21536
260550,25642
302811,23732
390513,24297
236488,17662
620846,23898
32069,16889
196268,17168
98920,20794
310716,20794
606112,21691
304799,23732
75995,19711
251485,23883
408397,25642
469881,23883
198052,22813
324903,17168
205695,17034
350756,23883
380729,24391
374664,24639
279471,19867
408700,16179
286659,16379
287305,22534
266269,26026
198216,20448
44943,12351
167443,21133
431185,22534
610451,26026
423448,21691
1524414,21691
396363,25944
416207,22534
230595,20262
405974,25642
750408,26149
985420,24360
437646,21691
170,21446
340288,22813
370976,20794
386885,23898
324677,23732
441776,22534
210108,22371
897212,26026
84654,19724
