RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
1,010001600,600,MASSIE RD,,Multipurpose Bldg (College),2 Story,A,Metal,None,Forced Air,0,1920,8,4,0,4,0,0,0,No Basement,Wood,2.00,3672
2,010005000,2030,BARRACKS RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
3,010006000,2028,BARRACKS RD,,Single Family,2 Story,A,Architectural Shingles,Hardwood,Hot Water Radiator,2,1940,10,5,1,3,0,1163,1018,Walkout Basement,Brick Veneer,2.00,2786
4,010007000,1930,BARRACKS RD,,Single Family,2 Sty Excellent,A -,Slate,Hardwood,Hot Water Radiator,3,1939,13,5,1,4,0,1699,1468,Partial Basement,Brick Veneer,2.00,5474
5,010008000,1924,BARRACKS RD,,Vacant Land,,,,,,,,,,,,,0,0,,,,
6,010009000,1920,BARRACKS RD,,Single Family,2 Sty Excellent,A -,Slate,Hardwood,Hot Water Radiator,1,1939,8,4,1,3,0,1260,,Cellar,Brick Veneer,2.00,3064
7,010010000,1851,WESTVIEW RD,,Single Family,1.5 Story,B++,Architectural Shingles,Hardwood,Forced Air,2,1950,9,4,2,3,0,1527,1375,Full Basement,Hardy Board,1.50,2144
8,010011000,1855,WESTVIEW RD,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Forced Air,1,1954,14,6,0,5,1,2492,1573,Partial Basement,Brick Veneer,1.33,3392
9,010012000,1857,WESTVIEW RD,,Single Family,Tri-Level,B++,Architectural Shingles,Hardwood,Forced Air,1,1952,8,3,0,2,1,,,No Basement,Brick Veneer,1.0,2520
10,010014000,1885,WESTVIEW RD,,Single Family,1.5 Sty Excellent,A -,Slate,Hardwood,Forced Air,1,1941,11,5,2,4,0,1671,1330,Partial Basement,Brick/Masonry,1.50,2584
11,010015000,1889,WESTVIEW RD,,Single Family,2 Sty Excellent,B +,Shingles,Hardwood,Heat Pump,2,1952,11,4,0,4,0,1166,779,Partial Basement,Brick Veneer,2.00,2924
12,010016000,1891,WESTVIEW RD,,Single Family,2 Story,B++,Shingles,Other,Radiant,2,1940,7,4,0,2,0,,,No Basement,Wood,2.00,2396
13,010017000,1893,WESTVIEW RD,,Single Family-1 Conversion,1.5 Sty (Avg),A -,Architectural Shingles,Hardwood,Forced Air,2,1958,11,2,0,4,0,1776,1170,Full Basement,Brick Veneer,1.75,3108
14,010017100,1895,WESTVIEW RD,,Single Family-2 Conversion,1.5 Story,B++,Architectural Shingles,Hardwood,Forced Air,2,1958,19,7,0,6,0,1770,1574,Partial Basement,Brick Veneer,1.66,4492
15,010019000,1890,WESTVIEW RD,,Single Family,2 Sty No Bsmt,B +,Shingles,Hardwood,Heat Pump,1,2002,6,3,1,2,0,,,No Basement,Wood,2.00,2080
16,010020000,1888,WESTVIEW RD,,Single Family,2 Story w/ Bsmt,A,Architectural Shingles,Hardwood,Forced Air,1,1951,12,5,2,4,0,640,640,Partial Basement,Brick Veneer,2.00,4368
17,010021000,1884,WESTVIEW RD,,Single Family,1 Sty Excellent,A,Architectural Shingles,Tile,Forced Air,1,1950,8,3,1,3,0,,,No Basement,Brick Veneer,1.00,2820
18,010022000,1882,WESTVIEW RD,,Single Family,1.5 Story,A -,Architectural Shingles,Hardwood,Heat Pump,2,1970,10,5,2,4,0,,,No Basement,Brick Veneer,1.75,3720
19,010023000,1880,WESTVIEW RD,,Single Family,1.5 Story,B +,Shingles,Hardwood,Hot Water Radiator,2,1950,9,3,1,2,0,,,No Basement,Brick Veneer,1.75,2743
20,010024000,1878,WESTVIEW RD,,Single Family,1.5 Story,B +,Architectural Shingles,Hardwood,Hot Water Radiator,1,1947,10,4,0,3,0,1360,927,Full Basement,Brick Veneer,1.50,2258
21,010024A00,1876,WESTVIEW RD,,Single Family,1.5 Story,A -,Architectural Shingles,Hardwood,Heat Pump,1,2002,11,4,2,3,0,,,No Basement,Wood,1.66,3783
