ParcelNumber,SaleAmount,SaleDate,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade,SaleDateYr,Grade out of 10,Year,Total Enrollment,Undergraduate Enrollment,Graduate Enrollment,CPI_Avg,SaleAmount_2024
010010000,575000,2018/10/31 04:00:00+00,4,1950.0,2144.0,B++,2018,7.5,2018.0,24639,16777.0,7862.0,251.0995,718345
010011000,205000,1984/05/16 04:00:00+00,6,1954.0,3392.0,B +,1984,7.0,1984.0,16531,10962.0,5569.0,103.93333333333334,618743
010011000,970000,2018/01/10 05:00:00+00,6,1954.0,3392.0,B +,2018,7.0,2018.0,24639,16777.0,7862.0,251.0995,1211818
010012000,785000,2020/06/26 04:00:00+00,3,1952.0,2520.0,B++,2020,7.5,2020.0,25642,17314.0,8328.0,258.85575,951312
010012000,512000,2015/05/04 04:00:00+00,3,1952.0,2520.0,B++,2015,7.5,2015.0,23883,16736.0,7147.0,237.00175000000002,677688
010012000,50000,1973/12/17 05:00:00+00,3,1952.0,2520.0,B++,1973,7.5,1973.0,13732,8873.0,4859.0,44.425000000000004,353064
010015000,480000,2002/07/03 04:00:00+00,4,1952.0,2924.0,B +,2002,7.0,2002.0,21536,13805.0,7731.0,179.86666666666667,837147
010015000,325000,1996/08/16 04:00:00+00,4,1952.0,2924.0,B +,1996,7.0,1996.0,19789,13129.0,6660.0,156.85833333333332,649960
010017000,636000,2017/06/08 04:00:00+00,2,1958.0,3108.0,A -,2017,8.0,2017.0,24360,16655.0,7705.0,245.121,813931
010017000,1030000,2018/10/19 04:00:00+00,2,1958.0,3108.0,A -,2018,8.0,2018.0,24639,16777.0,7862.0,251.0995,1286775
010017100,459500,2000/09/14 04:00:00+00,7,1958.0,4492.0,B++,2000,7.5,2000.0,20810,13718.0,7092.0,172.1916666666667,837114
010017100,180000,1993/06/11 04:00:00+00,7,1958.0,4492.0,B++,1993,7.5,1993.0,19711,12446.0,7265.0,144.475,390833
010017100,654750,2005/11/10 05:00:00+00,7,1958.0,4492.0,B++,2005,7.5,2005.0,22071,14213.0,7858.0,195.26666666666665,1051862
010019000,549000,2008/08/07 04:00:00+00,3,2002.0,2080.0,B +,2008,7.0,2008.0,22813,15207.0,7606.0,215.25424999999998,800077
010019000,10000,1973/03/19 04:00:00+00,3,2002.0,2080.0,B +,1973,7.0,1973.0,13732,8873.0,4859.0,44.425000000000004,70612
010019000,85000,2002/05/23 04:00:00+00,3,2002.0,2080.0,B +,2002,7.0,2002.0,21536,13805.0,7731.0,179.86666666666667,148244
010019000,360000,2003/03/03 05:00:00+00,3,2002.0,2080.0,B +,2003,7.0,2003.0,21446,13829.0,7617.0,184.0,613756
010019000,70000,2001/11/01 04:00:00+00,3,2002.0,2080.0,B +,2001,7.0,2001.0,21133,13766.0,7367.0,177.04166666666666,124032
010019000,479500,2006/07/07 04:00:00+00,3,2002.0,2080.0,B +,2006,7.0,2006.0,22371,14678.0,7693.0,201.5583333333333,746275
010019000,680000,2023/06/16 04:00:00+00,3,2002.0,2080.0,B +,2023,7.0,2023.0,25944,17618.0,8326.0,304.70416666666665,700070
010020000,275000,2001/01/24 05:00:00+00,5,1951.0,4368.0,A,2001,8.5,2001.0,21133,13766.0,7367.0,177.04166666666666,487268
010020000,962500,2010/08/04 04:00:00+00,5,1951.0,4368.0,A,2010,8.5,2010.0,24391,15595.0,8796.0,218.0761666666667,1384535
010020000,1261000,2020/08/03 04:00:00+00,5,1951.0,4368.0,A,2020,8.5,2020.0,25642,17314.0,8328.0,258.85575,1528159
010021000,1330000,2022/12/01 05:00:00+00,3,1950.0,2820.0,A,2022,8.5,2022.0,26149,17496.0,8653.0,292.6254166666667,1425775
010021000,175900,1994/04/15 04:00:00+00,3,1950.0,2820.0,A,1994,8.5,1994.0,19724,12568.0,7156.0,148.225,372268
010022000,279000,1989/06/01 04:00:00+00,5,1970.0,3720.0,A -,1989,8.0,1989.0,17444,11199.0,6245.0,123.94166666666666,706152
010022000,265000,1991/06/24 04:00:00+00,5,1970.0,3720.0,A -,1991,8.0,1991.0,17606,11306.0,6300.0,136.16666666666666,610501
010022000,1400000,2023/06/30 04:00:00+00,5,1970.0,3720.0,A -,2023,8.0,2023.0,25944,17618.0,8326.0,304.70416666666665,1441322
010022000,1300000,2019/09/04 04:00:00+00,5,1970.0,3720.0,A -,2019,8.0,2019.0,25018,17011.0,8007.0,255.65258333333335,1595161
010023000,275000,1999/05/07 04:00:00+00,3,1950.0,2743.0,B +,1999,7.0,1999.0,20794,13576.0,7218.0,166.58333333333334,517860
010023000,525000,2004/03/29 04:00:00+00,3,1950.0,2743.0,B +,2004,7.0,2004.0,21691,14129.0,7562.0,188.90833333333333,871805
010024A00,940000,2014/06/30 04:00:00+00,4,2002.0,3783.0,A -,2014,8.0,2014.0,23732,16483.0,7249.0,236.715,1245700
010024A00,125000,2002/06/12 04:00:00+00,4,2002.0,3783.0,A -,2002,8.0,2002.0,21536,13805.0,7731.0,179.86666666666667,218007
