ParcelNumber,SaleAmount,SaleDate,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade
010010000,575000,2018,4,1950.0,2144.0,B++
010011000,205000,1984,6,1954.0,3392.0,B +
010011000,970000,2018,6,1954.0,3392.0,B +
010012000,785000,2020,3,1952.0,2520.0,B++
010012000,512000,2015,3,1952.0,2520.0,B++
010012000,50000,1973,3,1952.0,2520.0,B++
010015000,480000,2002,4,1952.0,2924.0,B +
010015000,325000,1996,4,1952.0,2924.0,B +
010017000,31500,1958,2,1958.0,3108.0,A -
010017000,636000,2017,2,1958.0,3108.0,A -
010017000,1030000,2018,2,1958.0,3108.0,A -
010017100,459500,2000,7,1958.0,4492.0,B++
010017100,180000,1993,7,1958.0,4492.0,B++
010017100,654750,2005,7,1958.0,4492.0,B++
010019000,549000,2008,3,2002.0,2080.0,B +
010019000,10000,1973,3,2002.0,2080.0,B +
010019000,85000,2002,3,2002.0,2080.0,B +
010019000,360000,2003,3,2002.0,2080.0,B +
010019000,70000,2001,3,2002.0,2080.0,B +
010019000,479500,2006,3,2002.0,2080.0,B +
010019000,680000,2023,3,2002.0,2080.0,B +
010020000,275000,2001,5,1951.0,4368.0,A
010020000,962500,2010,5,1951.0,4368.0,A
010020000,1261000,2020,5,1951.0,4368.0,A
010021000,1330000,2022,3,1950.0,2820.0,A
010021000,175900,1994,3,1950.0,2820.0,A
010022000,279000,1989,5,1970.0,3720.0,A -
010022000,265000,1991,5,1970.0,3720.0,A -
010022000,1400000,2023,5,1970.0,3720.0,A -
010022000,1400000,2020,5,1970.0,3720.0,A -
010022000,1300000,2019,5,1970.0,3720.0,A -
010023000,275000,1999,3,1950.0,2743.0,B +
010023000,525000,2004,3,1950.0,2743.0,B +
010024A00,940000,2014,4,2002.0,3783.0,A -
010024A00,125000,2002,4,2002.0,3783.0,A -
010024A00,895000,2007,4,2002.0,3783.0,A -
010026000,195000,1994,1,1951.0,544.0,C
010026000,889000,2007,1,1951.0,544.0,C
010026000,195000,1994,4,1951.0,2900.0,B +
010026000,889000,2007,4,1951.0,2900.0,B +
010027000,483000,2008,3,1953.0,2321.0,B +
010027000,175000,1995,3,1953.0,2321.0,B +
010027000,695000,2017,3,1953.0,2321.0,B +
010028000,212100,1989,3,1953.0,2621.0,B +
010028000,469000,2012,3,1953.0,2621.0,B +
010029000,800000,2021,3,1953.0,3461.0,B++
010029000,285000,1997,3,1953.0,3461.0,B++
010030000,122000,1985,3,1953.0,3142.0,B +
010030000,275000,2002,3,1953.0,3142.0,B +
010030100,473000,2013,3,1954.0,1984.0,B +
010030100,94500,1979,3,1954.0,1984.0,B +
010031000,291000,1999,4,1952.0,2574.0,B
010031000,545000,2008,4,1952.0,2574.0,B
010031000,165000,1992,4,1952.0,2574.0,B
010031000,425000,2003,4,1952.0,2574.0,B
010032000,61000,1976,7,1952.0,2935.0,B +
010033000,140000,1991,4,1954.0,1368.0,B
010033000,421000,2016,4,1954.0,1368.0,B
010034000,34500,1971,5,1952.0,2956.0,B++
010034000,1000000,2020,5,1952.0,2956.0,B++
010034000,430000,2018,5,1952.0,2956.0,B++
010034000,470000,2019,5,1952.0,2956.0,B++
010035000,156500,1995,3,1953.0,1560.0,B
010036000,389000,2010,4,1958.0,2497.0,B
010036000,695940,2014,4,1958.0,2497.0,B
010036000,899000,2020,4,1958.0,2497.0,B
010036000,164500,1994,4,1958.0,2497.0,B
